Rank,Count,n,Percent
1,1454951,1878825,0.7743941026971645
2,1165153,1878825,0.6201498276848563
3,1145260,1878825,0.6095618272058334
4,673071,1878825,0.3582403896052054
5,663711,1878825,0.3532585525527923
6,983437,1878825,0.5234319321916624
7,930540,1878825,0.4952776336274001
8,315148,1878825,0.16773675036259364
9,313274,1878825,0.16673931845701437
10,396729,1878825,0.2111580376032893
11,642275,1878825,0.341849294106689
12,556369,1878825,0.29612603621944567
13,452690,1878825,0.24094314265564915
14,374798,1878825,0.19948531662076033
15,476666,1878825,0.25370430987452264
16,524411,1878825,0.27911646906976434
17,532736,1878825,0.283547429909651
18,407644,1878825,0.21696751959336288
19,314751,1878825,0.16752544808590475
20,416057,1878825,0.22144531821750296
21,514816,1878825,0.2740095538434926
22,283950,1878825,0.1511316913496467
23,271465,1878825,0.1444865807086876
24,399054,1878825,0.21239551315316754
25,288287,1878825,0.15344004896677443
26,252924,1878825,0.13461817891501338
27,239576,1878825,0.1275137386398414
28,162555,1878825,0.08651950021955211
29,253415,1878825,0.13487951246124572
30,145760,1878825,0.07758040264527032
31,114335,1878825,0.06085452343885141
32,229853,1878825,0.1223386957273828
33,348837,1878825,0.18566763801844238
34,255337,1878825,0.13590249224914508
35,144232,1878825,0.07676712839141485
36,188580,1878825,0.10037124266496347
37,310194,1878825,0.16509999600814337
38,304659,1878825,0.16215400582811065
39,205073,1878825,0.10914960147964818
40,72688,1878825,0.03868800979335489
41,183101,1878825,0.09745505834763749
42,118888,1878825,0.06327784652641943
43,46014,1878825,0.024490838689074288
44,97797,1878825,0.052052213484491634
45,129797,1878825,0.06908413503120302
46,52024,1878825,0.02768964645456602
47,119123,1878825,0.0634029247002781
48,71367,1878825,0.03798491078200471
49,56430,1878825,0.03003472915252884
50,174242,1878825,0.09273987731694011
51,88178,1878825,0.04693252431705987
52,89109,1878825,0.047428046784559495
53,194930,1878825,0.10375101459688901
54,74183,1878825,0.03948371987811531
55,75834,1878825,0.040362460580415954
56,44915,1878825,0.02390589863345442
57,17025,1878825,0.009061514510398787
58,127654,1878825,0.06794352853512169
59,73314,1878825,0.03902119675861243
60,70361,1878825,0.03744946974837997
61,16862,1878825,0.008974758160020226
62,37589,1878825,0.020006653094354183
63,118333,1878825,0.06298244913709367
64,40324,1878825,0.021462350139049673
65,49226,1878825,0.026200417814325444
66,27000,1878825,0.014370683805037723
67,126635,1878825,0.06740116828336859
68,56920,1878825,0.03029553045121286
69,57146,1878825,0.03041581839713651
70,56864,1878825,0.030265724588506113
71,43063,1878825,0.0229201761739385
72,22331,1878825,0.011885620001862867
73,87424,1878825,0.046531209665615476
74,48941,1878825,0.026048727263050044
75,74349,1878825,0.03957207297113888
76,22181,1878825,0.011805782869612657
77,58101,1878825,0.030924114805796175
78,85222,1878825,0.045359200564182404
79,23397,1878825,0.01245299588838769
80,62129,1878825,0.03306800793048847
81,12455,1878825,0.006629143214509068
82,9592,1878825,0.005105318483626735
83,14716,1878825,0.007832554921293894
84,41875,1878825,0.02228786608651684
85,32444,1878825,0.017268239458171995
86,32422,1878825,0.017256530012108633
87,48173,1878825,0.025639961145928973
88,46112,1878825,0.024542998948811092
89,15875,1878825,0.008449429829813846
90,34222,1878825,0.018214575599111146
91,22675,1878825,0.012068713158490015
92,17912,1878825,0.009533618085771692
93,24830,1878825,0.013215706625151358
94,27771,1878825,0.0147810466648038
95,10827,1878825,0.005762644205820127
96,21987,1878825,0.01170252684523572
97,27390,1878825,0.014578260348888268
98,16897,1878825,0.00899338682421194
99,42012,1878825,0.022360784000638696
100,21703,1878825,0.011551368541508655
101,25425,1878825,0.013532393916410522
102,21427,1878825,0.01140446821816827
103,24990,1878825,0.013300866232884914
104,14497,1878825,0.007715992708208588
105,19732,1878825,0.010502308623740901
106,16219,1878825,0.008632522986440993
107,25137,1878825,0.01337910662249012
108,4866,1878825,0.0025899165701967985
109,16218,1878825,0.00863199073889266
110,16818,1878825,0.008951339267893496
111,9430,1878825,0.005019094380796508
112,30514,1878825,0.016241001689885966
113,5142,1878825,0.0027368168935371843
114,29423,1878825,0.015660319614652776
115,13784,1878825,0.007336500206245925
116,41033,1878825,0.021839713650818996
117,23110,1878825,0.012300240842015621
118,19036,1878825,0.01013186433009993
119,26152,1878825,0.013919337884049872
120,14128,1878825,0.0075195933628730725
121,38549,1878825,0.020517610740755525
122,30908,1878825,0.01645070722392985
123,23051,1878825,0.012268838236663873
124,14546,1878825,0.00774207283807699
125,21142,1878825,0.011252777666892871
126,13713,1878825,0.007298710630314159
127,5713,1878825,0.0030407302436363153
128,25871,1878825,0.013769776322967813
129,24137,1878825,0.012846859074155389
130,10450,1878825,0.005561986880097933
131,15723,1878825,0.008368528202466967
132,21582,1878825,0.011486966588160154
133,11600,1878825,0.006174071560682874
134,10415,1878825,0.005543358215906218
135,8654,1878825,0.004606070283288757
136,11585,1878825,0.006166087847457853
137,8775,1878825,0.00467047223663726
138,4603,1878825,0.0024499354649847645
139,15017,1878825,0.007992761433342647
140,2697,1878825,0.0014354716378587682
141,10003,1878825,0.005324072225992309
142,4605,1878825,0.0024509999600814338
143,6812,1878825,0.003625670299256184
144,22288,1878825,0.011862733357284473
145,11222,1878825,0.005972881987412346
146,9431,1878825,0.005019626628344843
147,6855,1878825,0.0036485569438345776
148,8240,1878825,0.004385719798278179
149,4538,1878825,0.002415339374343007
150,6830,1878825,0.003635250755126209
151,18612,1878825,0.009906191369606004
152,4636,1878825,0.0024674996340798105
153,8349,1878825,0.004443734781046664
154,9598,1878825,0.005108511968916743
155,9205,1878825,0.004899338682421194
156,11305,1878825,0.0060170585339241285
157,16278,1878825,0.008663925591792743
158,3807,1878825,0.002026266416510319
159,6216,1878825,0.0033084507604486846
160,8679,1878825,0.004619376471997126
161,11301,1878825,0.006014929543730789
162,9649,1878825,0.005135656593881814
163,10174,1878825,0.0054150865567575476
164,10328,1878825,0.005497052679201096
165,5658,1878825,0.003011456628477905
166,3656,1878825,0.0019458970367117747
167,10916,1878825,0.005810014237621918
168,6546,1878825,0.0034840924513991458
169,7668,1878825,0.004081274200630714
170,4249,1878825,0.00226151983287427
171,9070,1878825,0.004827485263396006
172,7160,1878825,0.00381089244607667
173,8801,1878825,0.004684310672893963
174,3508,1878825,0.0018671243995582345
175,5840,1878825,0.003108325682274826
176,4798,1878825,0.002553723736910037
177,7840,1878825,0.004172820778944287
178,4459,1878825,0.002373291818024563
179,2707,1878825,0.0014407941133421154
180,4134,1878825,0.0022003113648157756
