Pokemon,Rank,Count,n,Percent
Flutter Mane,1,670038,807139,0.8301395422597595
Iron Bundle,2,477869,807139,0.5920529177750053
Great Tusk,3,358174,807139,0.4437575188412405
Dragonite,4,260431,807139,0.32265941801845777
Arcanine,5,355436,807139,0.44036529024121
Amoonguss,6,422997,807139,0.5240695840493397
Kingambit,7,236855,807139,0.2934500748941632
Iron Hands,8,423127,807139,0.5242306467659226
Gholdengo,9,298255,807139,0.36952123488023747
Maushold,10,237508,807139,0.29425910530899885
Dondozo,11,134552,807139,0.16670238955124211
Tatsugiri,12,132814,807139,0.1645491049249262
Palafin,13,248468,807139,0.30783793126091047
Talonflame,14,213712,807139,0.26477719451048704
Roaring Moon,15,220259,807139,0.2728885607063963
Torkoal,16,232883,807139,0.288528989430569
Glimmora,17,88981,807139,0.11024247372509567
Brute Bonnet,18,123365,807139,0.15284232331729727
Armarouge,19,226915,807139,0.28113497179544045
Indeedee-F,20,227936,807139,0.282399933592603
Baxcalibur,21,138990,807139,0.17220082290658734
Tyranitar,22,160792,807139,0.1992122794215123
Annihilape,23,218800,807139,0.2710809414487467
Gothitelle,24,122556,807139,0.1518400176425622
Murkrow,25,99049,807139,0.12271616165245391
Ceruledge,26,117243,807139,0.1452575083102167
Iron Jugulis,27,68792,807139,0.08522943383977233
Garganacl,28,129564,807139,0.16052253701035385
Lilligant,29,60547,807139,0.07501434077649574
Sylveon,30,78880,807139,0.09772790064660486
Hatterene,31,63219,807139,0.07832479907426106
Volcarona,32,89036,807139,0.11031061564364998
Pelipper,33,103963,807139,0.1288043323392873
Grimmsnarl,34,127556,807139,0.158034737511135
Mimikyu,35,47934,807139,0.05938754043603394
Iron Moth,36,77133,807139,0.09556346552452552
Garchomp,37,113691,807139,0.14085677931558258
Corviknight,38,57189,807139,0.07085396691276223
Rotom-Wash,39,48020,807139,0.059494089617773395
Gastrodon,40,86315,807139,0.10693944909117264
Iron Treads,41,23384,807139,0.02897146588134138
Meowscarada,42,108061,807139,0.13388152474356957
Scream Tail,43,68325,807139,0.08465084700404762
Abomasnow,44,46139,807139,0.0571636360032163
Flamigo,45,31464,807139,0.03898213318895506
Sandy Shocks,46,58187,807139,0.07209043299852938
Hydreigon,47,77722,807139,0.09629320352504339
Salamence,48,19823,807139,0.024559586390943817
Azumarill,49,29565,807139,0.0366293785828711
Farigiraf,50,51116,807139,0.06332986016039369
Lycanroc,51,28018,807139,0.03471273225553467
Scizor,52,54734,807139,0.06781235945729298
Sableye,53,59767,807139,0.07404796447699838
Klefki,54,21426,807139,0.026545613580808262
Dragapult,55,49247,807139,0.061014273873521166
Gyarados,56,33140,807139,0.04105860328890067
Bellibolt,57,25313,807139,0.031361388806636775
Pawmot,58,24766,807139,0.03068368645301491
Houndstone,59,20268,807139,0.025110916459246797
Hariyama,60,15637,807139,0.01937336691697465
Orthworm,61,18082,807139,0.02240258493270676
Vivillon,62,10464,807139,0.012964309740949205
Umbreon,63,20967,807139,0.025976938296873277
Tinkaton,64,31080,807139,0.03850637870304867
Medicham,65,7217,807139,0.008941458658298013
Skeledirge,66,43877,807139,0.054361144734673954
Tauros-Paldea-Aqua,67,24919,807139,0.030873244880993238
Gardevoir,68,21584,807139,0.026741366728655163
Stonjourner,69,10595,807139,0.013126611401505813
Kilowattrel,70,32820,807139,0.040662141217312014
Espathra,71,26493,807139,0.03282334269561996
Oranguru,72,30034,807139,0.03721044330654324
Iron Valiant,73,37850,807139,0.04689402940509627
Tauros-Paldea-Blaze,74,17945,807139,0.02223284960830786
Cetitan,75,17516,807139,0.021701342643584313
Rotom-Heat,76,14355,807139,0.017785040742672575
Gallade,77,19453,807139,0.024101177120669427
Arboliva,78,30482,807139,0.03776549020676736
Jumpluff,79,9840,807139,0.012191208701351316
