Pokemon,Rank,Count,n,Percent
Houndoom,130,10450,1878825,0.005561986880097933
Spiritomb,131,15723,1878825,0.008368528202466967
Dudunsparce,132,21582,1878825,0.011486966588160154
Eelektross,133,11600,1878825,0.006174071560682874
Altaria,134,10415,1878825,0.005543358215906218
Braviary,135,8654,1878825,0.004606070283288757
Haxorus,136,11585,1878825,0.006166087847457853
Oricorio-Sensu,137,8775,1878825,0.00467047223663726
Chansey,138,4603,1878825,0.0024499354649847645
Frosmoth,139,15017,1878825,0.007992761433342647
Sandaconda,140,2697,1878825,0.0014354716378587682
Revavroom,141,10003,1878825,0.005324072225992309
Rotom-Frost,142,4605,1878825,0.0024509999600814338
Camerupt,143,6812,1878825,0.003625670299256184
Slaking,144,22288,1878825,0.011862733357284473
Ditto,145,11222,1878825,0.005972881987412346
Froslass,146,9431,1878825,0.005019626628344843
Muk,147,6855,1878825,0.0036485569438345776
Cloyster,148,8240,1878825,0.004385719798278179
Misdreavus,149,4538,1878825,0.002415339374343007
Bruxish,150,6830,1878825,0.003635250755126209
Noivern,151,18612,1878825,0.009906191369606004
Pikachu,152,4636,1878825,0.0024674996340798105
Beartic,153,8349,1878825,0.004443734781046664
Lokix,154,9598,1878825,0.005108511968916743
Ursaring,155,9205,1878825,0.004899338682421194
Oricorio-Pom-Pom,156,11305,1878825,0.0060170585339241285
Jolteon,157,16278,1878825,0.008663925591792743
Squawkabilly,158,3807,1878825,0.002026266416510319
Leafeon,159,6216,1878825,0.0033084507604486846
Toxicroak,160,8679,1878825,0.004619376471997126
Electrode,161,11301,1878825,0.006014929543730789
Bombirdier,162,9649,1878825,0.005135656593881814
Espeon,163,10174,1878825,0.0054150865567575476
Appletun,164,10328,1878825,0.005497052679201096
Blissey,165,5658,1878825,0.003011456628477905
Veluza,166,3656,1878825,0.0019458970367117747
Weavile,167,10916,1878825,0.005810014237621918
Crabominable,168,6546,1878825,0.0034840924513991458
Lycanroc-Dusk,169,7668,1878825,0.004081274200630714
Scyther,170,4249,1878825,0.00226151983287427
Heracross,171,9070,1878825,0.004827485263396006
Mabosstiff,172,7160,1878825,0.00381089244607667
Palossand,173,8801,1878825,0.004684310672893963
Toedscool,174,3508,1878825,0.0018671243995582345
Gogoat,175,5840,1878825,0.003108325682274826
Golduck,176,4798,1878825,0.002553723736910037
Avalugg,177,7840,1878825,0.004172820778944287
Slowpoke,178,4459,1878825,0.002373291818024563
Sawsbuck,179,2707,1878825,0.0014407941133421154
Gothorita,180,4134,1878825,0.0022003113648157756
Donphan,181,4381,1878825,0.0023317765092544544
Magneton,182,2357,1878825,0.0012545074714249598
Cryogonal,183,7580,1878825,0.004034436416377257
Klawf,184,3503,1878825,0.0018644631618165608
Haunter,185,1015,1878825,0.0005402312615597515
Skuntank,186,2467,1878825,0.00131305470174178
Alomomola,187,4639,1878825,0.0024690963767248146
Gumshoos,188,990,1878825,0.0005269250728513832
Cacturne,189,3493,1878825,0.0018591406863332136
Polteageist,190,4856,1878825,0.002584594094713451
Lumineon,191,7717,1878825,0.004107354330499115
Grumpig,192,1459,1878825,0.0007765491730203718
Masquerain,193,7850,1878825,0.004178143254427634
Flapple,194,6425,1878825,0.0034196904980506432
Crocalor,195,415,1878825,0.00022088273255891315
Ampharos,196,7520,1878825,0.004002501563477173
Dunsparce,197,1803,1878825,0.000959642329647519
Lurantis,198,8154,1878825,0.0043399465091213925
Stantler,199,4630,1878825,0.002464306148789802
Venomoth,200,1467,1878825,0.0007808071534070497
Sudowoodo,201,1757,1878825,0.0009351589424241214
Eiscue,202,4488,1878825,0.0023887269969262706
Naclstack,203,992,1878825,0.0005279895679480526
Qwilfish,204,1776,1878825,0.0009452716458424813
Whiscash,205,736,1878825,0.00039173419557436164
Venonat,206,326,1878825,0.00017351270075712213
Morgrem,207,489,1878825,0.0002602690511356832
Tinkatink,208,34,1878825,1.8096416643380835e-05
Komala,209,1683,1878825,0.0008957726238473514
Flareon,210,4764,1878825,0.002535627320266656
Wattrel,211,38,1878825,2.022540683671976e-05
Delibird,212,1350,1878825,0.0007185341902518861
Falinks,213,2355,1878825,0.0012534429763282904
Mismagius,214,4023,1878825,0.0021412318869506205
Primeape,215,4792,1878825,0.0025505302516200283
Dedenne,216,3599,1878825,0.001915558926456695
Forretress,217,5284,1878825,0.0028123960454007157
Oricorio,218,2777,1878825,0.0014780514417255465
Passimian,219,2215,1878825,0.001178928319561428
Zweilous,220,593,1878825,0.0003156227961624952
Wugtrio,221,3852,1878825,0.0020502175561853816
Zoroark-Hisui,222,431,1878825,0.00022939869333226884
Drowzee,223,184,1878825,9.793354889359041e-05
Basculin,224,1437,1878825,0.0007648397269570077
Banette,225,1959,1878825,0.001042672947187737
Seviper,226,802,1878825,0.0004268625337644538
Diglett,227,60,1878825,3.193485290008383e-05
Fletchinder,228,113,1878825,6.014397296182454e-05
Meditite,229,166,1878825,8.835309302356526e-05
Vespiquen,230,1410,1878825,0.00075046904315197
Wigglytuff,231,3151,1878825,0.0016771120248027357
Lycanroc-Midnight,232,3138,1878825,0.0016701928066743842
Pyroar,233,3373,1878825,0.0017952709805330459
Sneasel,234,1427,1878825,0.0007595172514736604
Riolu,235,1969,1878825,0.0010479954226710842
Shellos,236,25,1878825,1.3306188708368262e-05
